premise,hypothesis,label
"Its portfolio encompasses industrial trucks, such as forklift trucks and warehouse trucks, as well as integrated automation technology and software solutions for the optimization of supply chains, including all related services.","Its portfolio encompasses enterprise consulting, financial advising, and legal services for the development of corporate strategies, excluding all related products.",structure
"The KION Group, which is included in the MDAX, is the largest manufacturer of industrial trucks in Europe in terms of units sold in 2021.","The KION Group, which is included in the MDAX, is the largest purchaser of industrial trucks in Europe in terms of units bought in 2021.",structure
"In China, it is the leading foreign manufacturer (as measured by revenue in 2020).","In China, domestic companies are the leading manufacturers (as measured by revenue in 2020).",structure
The KION Group’s world-renowned brands are well established.,Lesser-known brands are well established by the KION Group.,structure
"Measured by revenue in 2020, Dematic is the global leader in warehouse automation, providing a broad range of intelligent supply chain and automation solutions.","Measured by revenue in 2020, competitors are the global leaders in warehouse automation, providing a broad range of intelligent supply chain and automation solutions.",Structure
The Linde and STILL brands serve the premium and higher value segments of the industrial truck market.,The Linde and STILL brands serve the entry-level and lower value segments of the industrial truck market.,structure
"In 2021, the regional industrial truck brand Fenwick was one of the leading suppliers of material handling products in France, while OM is among the leading vendors in the Indian market.","In 2021, the local automotive brand Citroën was one of the leading suppliers of electric vehicles in Germany, while Tesla is among the leading vendors in the American market.",structure
"With more than 1.6 million industrial trucks and over 8,000 systems installed worldwide as at December 31, 2021, the KION Group counts companies of various sizes in numerous industries on six continents among its customers.","The KION Group counts numerous industries on six continents as inspirations for its 1.6 million industrial trucks and over 8,000 systems.",Structure
"The Industrial Trucks & Services segment encompasses forklift trucks, warehouse technology, and related services, including complementary financial services.","The Industrial Trucks & Services segment encompasses desktop computers, software applications, and technical support, excluding any financial services.",structure
"It pursues a multi-brand strategy involving the three international brands Linde, STILL, and Baoli plus the regional brands Fenwick and OM.",It pursues a multi-brand strategy involving the two national brands Apple and Google plus the local brands Intel and AMD.,structure
The Supply Chain Solutions segment encompasses integrated technology and software solutions that are used to optimize supply chains.,The Supply Chain Solutions segment encompasses outdated practices and manual efforts that are used to optimize supply chains.,structure
"The Corporate Services segment comprises holding companies and other service companies that provide services such as IT, and general administration across all segments.  ","The holding companies and other service companies are comprised by the Corporate Services segment for providing services like customer support, and marketing to external clients only.",Structure
We managed to steer the Group very successfully through the pandemic in 2021.,We managed to steer the challengers very successfully through the pandemic in 2021.,structure
"In terms of profitability too, the KION Group is among the best in its field.","In terms of profitability too, the KION Group is among the worst in its field.",structure
"Once again, we have proven ourselves to be an industry leader.","Once again, we have proven competition to be industry leaders.",structure
"And even better, all signs are pointing to further growth.","And even better, no indicators are pointing to further growth.",structure
