id,premise,hypothesis,label_string,label
Mbf3G9tgFK,The Company has taken out a commercially appropriate level of insurance to limit the risk of potential losses.,The Company has measures in place to financially protect itself against losses.,entailment,1
j0wiMc3zWN,"The KION Group is also on a solid footing in terms of its finances, based on the Annual report 2022.",The financial performance of the KION Group in 2022 was strong.,entailment,1
xMzxNivdex,It then raised this rating to BBB– with a stable outlook in August 2021.,It then raised this rating to BBB– with a stable outlook in August 2021.,entailment,1
mLC4faHDjU,Impairment losses decreased by €12.5 million to €0.3 million.,The new amount of impairment losses is €0.3 million.,entailment,1
QqcccwK2Vk,"Financial services support the sale of new trucks in many markets, forming another pillar of the service business.","Financial services hinder the sale of new trucks in many markets, undermining a pillar of the service business.",factive_antonymity,2
u6CXCTxC4Z,"This mainly included in-depth information, conveyed by external and internal experts, concerning the German Supply Chain Due Diligence Act and the changes to the Company’s governance model.","This mainly included in-depth information, conveyed by external and internal experts, concerning the German Supply Chain Due Diligence Act and the changes to the Company’s governance model.",entailment,1
njWnDI7ciO,It indicates financial strength and is the main KPI for managing the KION Group’s liquidity and financing.,It indicates financial strength and is the main KPI for managing the KION Group’s liquidity and financing.,entailment,1
rtRcxj5nwQ,"In 2020, the parent company and the consolidated subsidiaries that reported losses for 2020 or 2019 recognized net deferred tax assets on temporary differences, loss carryforwards, and tax credits totaling €27.6 million (2019: €12.8 million).  ",The amount of net deferred tax assets recognized by the parent company and its consolidated subsidiaries increased from 2019 to 2020.,entailment,1
R0i7YEKuaD,The US economy had experienced a minor contraction in the previous year.,The US economy had experienced a minor contraction in the previous year.,entailment,1
5YA1cmGChu,"In the indirect leasing business, industrial trucks are sold to leasing companies (vendor partners) that enter into long-term leases with end customers.","In the indirect leasing business, leasing companies lease industrial trucks directly from end customers and then purchase them for long-term use.",worldknowledge,10
rVEw3RZKLH,"Our response to the changing situation since March 2020 has been rapid and thorough, particularly when it comes to protecting our employees’ health, which is our highest priority.  ","Our response to the changing situation since March 2020 has been slow and inadequate, especially in regards to protecting our employees' health, which we have not prioritized.",negation,5
Ypq7Cu6QZJ,Participating employees acquire KION shares for their own investment purposes.,Participating employees sell KION shares for their own investment purposes.,antonymity,0
4I13I93gF8,"To ensure this, the Executive Board and Supervisory Board of KION GROUP AG developed a joint diversity concept in 2017 and last amended it at the beginning of 2022.","To ensure this, the Executive Board and Supervisory Board of KION GROUP AG developed a joint diversity concept in 2017 and last amended it at the beginning of 2022.",entailment,1
VTkkxS3tWK,The KION Group not only wants to offer its customers the most-efficient technology but also to encourage them to opt for this technology.,The KION Group is actively promoting the adoption of efficient technology among its customers.,entailment,1
wT9RH1eWk8,"The new KION ITS EMEA Operating Unit, which was formed on January 1, 2021 from the previously separate LMH EMEA and STILL EMEA Operating Units, focuses on the ITS business in Europe, the Middle East, and Africa.","The new KION ITS EMEA Operating Unit, which was formed on January 1, 2021 from the previously separate LMH EMEA and STILL EMEA Operating Units, focuses on the ITS business in Europe, the Middle East, and Africa.",entailment,1
FQqJzEOyJl,"Order intake in the Supply Chain Solutions segment is expected to be between €4,400 million and €5,000 million.","Analysts anticipate the order intake in the Supply Chain Solutions segment will only reach €3,200 million.",numeric,7
TU3MnZeXCT,"However, other factors could also have an adverse effect on our business performance and results.",The company is planning to expand into new markets next year.,neutral,6
DkGNdandnp,"Group companies had drawn down bank loans of €129.7 million (December 31, 2021: €104.0 million).","The amount of bank loans drawn by the Group companies increased between December 31, 2021, and the reporting date.",entailment,1
D1YmKhq6Ss,"Manual and automated solutions are provided for all functions to ensure seamless material handling for customers, from goods inward and Multishuttle warehouse systems to picking, automated palletizing, and automated guided vehicle systems.",Customers struggle with seamless material handling due to a lack of automated solutions for goods inward and Multishuttle warehouse systems.,factive_embedding_verb,3
pDz97ugzBi,"With its own production facility, the KION Group has been able to expand its range of products equipped with this high-performance type of battery.  ","The KION Group does not have its own production facility, preventing it from expanding its range of products equipped with this high-performance type of battery.",negation,5
EjOpmIyn4V,KION GROUP AG and its governing bodies therefore adhere strictly to the GCGC’s recommendations on this subject.,KION GROUP AG and its governing bodies therefore adhere strictly to the GCGC’s recommendations on this subject.,entailment,1
rMrFIS0z4t,We will also press ahead with the ongoing expansion of our global sales and service network and the Group’s digital transformation.,The Group’s digital transformation has been completed and will now be followed by the initiation of the expansion of our global sales and service network.,temporal,9
PfPv4nKZit,"Total segment revenue, which came to €168.0 million (2020: €157.3 million), again mainly resulted from internal IT services.","Total segment revenue reported was €150.0 million (2020: €157.3 million), primarily from external IT services.",numeric,7
oPMVTRodFw,The Linde and STILL brands serve the premium and higher value segments of the industrial truck market.,The Linde and STILL brands serve the entry-level and lower value segments of the industrial truck market.,structure,8
liaAnKFPJq,Payment terms vary in accordance with the customary conditions in the respective countries.,Payment terms are uniform regardless of the customary conditions in the respective countries.,antonymity,0
Ugtu2CzSq2,About half of all new trucks are financed via the KION Group itself or via external banks and financing partners.,The interest rates for financing new trucks have been steadily decreasing over the past year.,neutral,6
supcEheFRy,The Executive Committee consists of four shareholder representatives and four employee representatives.,The Executive Committee is solely composed of external consultants with no representatives from shareholders or employees.,worldknowledge,10
knouhc8H47,"Furthermore, financial income was reduced by changes in the fair value of interest-rate derivatives that are used to hedge the lease portfolio and are designated as part of a fair value hedge or are accounted for separately.",The company utilizes interest-rate derivatives to manage risk associated with its lease portfolio.,entailment,1
9XQKSgWwFq,"The corporate governance standards that the Group applies, which go further than the legal requirements, are set out in the corporate governance statement in accordance with sections 289f and 315d of the German Commercial Code (HGB).",The Group's corporate governance standards exceed the minimum legal requirements.,entailment,1
q5osCXuWY3,"The revenue in the Supply Chain Solutions segment amounts to mEUR 2,619.4 in the financial year 2020 (prior year: mEUR 2,376.1).",The increase in revenue was due to the acquisition of new clients in the Supply Chain Solutions segment.,neutral,6
INZtusO3DB,"We're in contact with our suppliers, working with them through their scenario planning and their adjustments.",Our suppliers have not informed us about their scenario planning or their adjustments.,factive_embedding_verb,3
QQfKfJ6ULE,"Linde Material Handling Ibérica, S.A.U. is based in Barcelona, Spain.","Linde Material Handling Ibérica, S.A.U. is located outside of Spain.",lexical,4
95ZxOUHWmA,"As a global leader in intralogistics, we’ll benefit from the structural growth in our attractive end markets.",The company is planning to expand its workforce to meet increasing demand.,neutral,6
UWwb6R9zUn,"Personnel expenses amounted to €74.0 million, a year-on-year rise of €21.5 million.","The company reported personnel expenses stable at €52.5 million, without noting any increase from the previous year.",factive_embedding_verb,3
BS6BRILTBA,"Contract liabilities, of which a large proportion related to the long-term project business, decreased to €504.9 million (2018: €570.1 million).","Contract liabilities, primarily from long-term project business, increased to €600 million (2018: €570.1 million).",numeric,7
kG1yjpbj8b,The KGCC is a binding framework for all employees.,Some employees prefer flexible guidelines over strict regulations.,neutral,6
zNS29IVgUI,TABLE 047 shows the significant parameters for impairment testing broken down by Operating Unit.,TABLE 047 omits the crucial details for impairment testing aggregated by Operating Unit.,lexical,4
1MKy0hR3wx,The position of Chief Financial Officer / Labor Relations Director was vacant until the end of the reporting period; the Company's Chief Executive Officer carried out the relevant duties on an interim basis.,The company is planning to expand its operations into new markets next year.,neutral,6
lv6xUeqDSe,The key aims of the initiative were to ensure that the organizational structure was firmly embedded and to communicate the KION Group’s strategy more widely.,The initiative sought to stabilize the organizational structure and increase awareness of the KION Group's strategy.,entailment,1
TkQgav5ZsQ,"To coincide with the publication of the 2019 annual report on March 3, 2020, the Executive Board of KION GROUP AG held a financial statements press conference and conference call to explain the results.  ","The Executive Board of KION GROUP AG scheduled the financial statements press conference and conference call for the 2019 annual report on March 10, 2020, a week after the publication.",temporal,9
rn5r08TUKI,The free float therefore accounted for 54.7 percent at the end of 2020.,Over half of the available shares were in free float at the end of 2020.,entailment,1
4LocLBlX8B,"In addition, various initiatives were continued in 2020 that are aimed at increasing diversity in the Company.",No initiatives were pursued in 2020 to enhance uniformity across the Company.,lexical,4
ir9TmXgBlq,The chairman of each committee reports regularly to the full Supervisory Board on the committee’s work.,The chairman of each committee reports regularly to the full Supervisory Board on the committee’s work.,entailment,1
iy2maeptrZ,The Supervisory Board had previously given its consent to this appointment.,The Supervisory Board had previously given its consent to this appointment.,entailment,1
IO4E4zCV6z,"Probably one question which just popped up is on the supply chain just because we heard from some machinery companies, not direct competitors but others, saying that the supply situation is getting tighter again.","The supply situation for machinery companies is actually becoming more relaxed and abundant, indicating an oversupply in the market.",worldknowledge,10
NyGFVkchQM,"Adjusted EBIT amounted to €536.0 million, which was within the target range of €525 million to €565 million.","The target range for adjusted EBIT was set to €525 million to €565 million after the adjusted EBIT was reported at €536.0 million, suggesting a chronological inversion.",temporal,9
j3OSAK4ydU,The focus in the Industrial Trucks & Services segment was on the expansion and modernization of production and technology facilities.,The focus in the Industrial Trucks & Services segment was on the reduction and obsolescence of production and technology facilities.,antonymity,0
ae2UK32rMR,"Even though there were no contractual escalation clauses in place with our customers, our sales teams have begun discussions with thousands of customers to participate in the higher procurement costs on orders that we received before April of 2022.",The sales teams have initiated discussions with only a hundred customers about sharing the higher procurement costs for orders received before April of 2022.,numeric,7
HFtmmRGa80,"Leased assets for direct and indirect leases with end customers that are classified as operating leases decreased only slightly to €1,333.3 million (December 31, 2019: €1,361.2 million).","Leased assets for direct and indirect leases with end customers that are classified as operating leases did not decrease but increased significantly from €1,361.2 million to €1,333.3 million.",negation,5
9USEYFYtH0,The shares were allocated on the basis of an allocation value in euros specified in each Executive Board member’s service contract. ,The allocation values in euros were decided for each Executive Board member’s service contract after the shares were allocated.,temporal,9
c3PJzHOJlP,The rise in other income was predominantly due to the increase in foreign currency exchange rate gains.,The company's market share in the domestic sector remained constant.,neutral,6
WoRdZwBeTh,A reconciliation of EBITDA to adjusted EBITDA is presented in the table ‘EBITDA’ (in the section ‘Financial position and financial performance of the KION Group’).,A reconciliation of EBITDA to adjusted EBITDA is omitted from the table ‘EBITDA’ (in the section ‘Financial position and financial performance of the KION Group’).,antonymity,0
fciftjhrad,"The forecasts in this section are derived from the KION Group’s multiple-year market, business, and financial planning, which is based on various assumptions.",The accuracy of the forecasts depends on the validity of the underlying assumptions.,entailment,1
2IECsceu3H,"And then when the lease contracts get extended, there are less leased vehicles coming back that we would then sell as used trucks.",The demand for new trucks has increased in the market.,neutral,6
EZg6BitanN,"A few big-ticket orders that had already been confirmed were cancelled altogether, while some customer orders whose negotiations had been concluded were postponed until further notice.",The company is exploring new markets to expand its customer base.,neutral,6
ehtkn63sjj,Economic conditions in the different regions and the rates of growth in global trade have a major effect on customers’ willingness to invest.,Economic conditions in the different regions and the rates of growth in global trade have a major effect on customers’ willingness to invest.,entailment,1
cmnsHMwbjP,"You add the release of net working capital, €250 million.",The action decreases the company's available funds by €250 million.,worldknowledge,10
CwXap4LWXw,"Further legal risk may arise as a result of the environmental restoration of decommissioned sites, for example because of work required due to contamination.",Contaminated decommissioned sites may lead to legal actions during environmental restoration efforts.,entailment,1
nu82iCfaq0,"For the 2021 and 2022 tranches, 20 percent of the performance share plan is linked to the achievement of ESG targets.","For the 2021 and 2022 tranches, 20 percent of the performance share plan is linked to the failure to meet ESG targets.",antonymity,0
83H9fSvtE5,It was always fully involved in major decisions affecting the Company from an early stage.,It was never involved in any major decisions affecting the Company.,negation,5
WKO6RQP0Hl,"On average, the euro appreciated against the US dollar, pound sterling, and the Chinese renminbi in the reporting year.",The value of the Japanese yen against the euro remained stable throughout the year.,neutral,6
2nCdNxBlOe,"Inputs to the system are managed and assessed by the compliance organization and ultimately the Compliance Committee, which includes the chief compliance officer, HR, Audit and Legal.",The chief compliance officer is part of the Compliance Committee that assesses system inputs.,entailment,1
dE1NiTKAke,These counterparty risks did not change significantly in 2019.,These counterparty risks underwent significant alterations in 2019.,antonymity,0
zpnt0XK5GJ,"Consequently, risk officers and their subordinate risk managers have been appointed for each company and each Operating Unit.",Every Operating Unit now has a designated risk manager.,entailment,1
mCUEXcWPcl,"During a successful interim presentation, the technology’s huge potential was demonstrated in an intelligent assistance system that helps self-driving vehicles to recognize their environment.  ",The intelligent assistance system has capabilities that contribute to the safety of self-driving vehicles.,entailment,1
kf0j7a9Svo,You can imagine we’re working hard to do our very best.,They have doubted we've made any effort to excel.,factive_embedding_verb,3
z1FkFXXRKI,"Having adopted a resolution on the updated remuneration system for the members of the Executive Board in December 2020, the Supervisory Board presented the system to the Annual General Meeting on May 11, 2021, at which it was approved.","Having adopted a resolution on the environmental policy changes for the company facilities in December 2020, the Supervisory Board presented the policy changes to the local government on May 11, 2021, at which they were rejected.",structure,8
sYSXo7EcYj,The financial statements of foreign equity-accounted investments are also translated using the method described above.,The financial statements of foreign equity-accounted investments do not require translation and are directly integrated as is.,worldknowledge,10
vAzU3xpRya,"In a highly competitive industry, attracting, developing, engaging, and retaining talents is a major driver for business success and profitable growth.",The company has recently introduced a new product line to diversify its offerings.,neutral,6
zUqCfpvQP0,Energy The KION Group continually develops its products and solutions so that its customers are able to use energy as efficiently and sustainably as possible.,Energy The KION Group continually develops its products and solutions so that its customers are able to use energy as efficiently and sustainably as possible.,entailment,1
8Yc4zz1Q2k,"Interest expense from leases totalled €57.4 million in the current year, up from €51.3 million in 2018, and was attributable to liabilities from financing both the direct and indirect lease business as well as liabilities from financing the short-term rental fleet.",The company experienced an increase in interest expenses from leasing activities compared to the previous year.,entailment,1
HsMvU5RLhX,"Taking into account the average trade tax rate of 14.9 percent, the combined nominal tax rate for entities in Germany was 30.7 percent in both 2022 and the current year.",The trade tax rate remained constant at 14.9 percent over the period from 2022 to the current year.,entailment,1
aQuS7Xt7Nc,"It was praised not only for its high level of productivity, quietness, and flexibility but also for the low operating costs and low maintenance costs of the electric drive. ","It was criticized for its low productivity, noise, and rigidity, as well as for the high operating costs and high maintenance costs of the electric drive.",lexical,4
vXp7IAOya3,"Net income amounted to €568.0 million, more than double compared to the year 2020.","Net income amounted to €260.0 million, slightly less than the year 2020.",numeric,7
